Property ID,Property,Property Name,Rentable Units,Property - Total Rentable Beds,Occupied - Count,Property - Total Occupied Beds,Pre-Leased - Signed - Count,"Property - # of Signed Leases, Current Term"
739076,1008 S. 4th,Campustown 1008 S. 4th,158,158,92,152,74,164
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,180,183,180,180,75,159
739084,908 S. 1st,Campustown 908 S. 1st,96,96,53,92,27,99
641240,Academy 65,Academy 65,309,309,188,241,95,261
676055,Academy Lincoln,Academy Lincoln,632,632,614,607,441,651
909419,Everly on The Loop,Everly on The Loop,428,0,419,0,259,0
637523,River House,River House,270,0,253,0,103,0
518044,Shortbread Lofts,Shortbread Lofts,395,374,393,395,389,373
952515,SOVA,SOVA,816,816,809,809,644,950
577897,Station Nine,Station Nine,323,323,318,226,281,302
518041,The Academy at Frisco,The Academy at Frisco,640,640,623,639,502,684
535270,The Academy Chorro,The Academy Chorro,96,0,77,0,43,98
518042,The Academy on Charles,The Academy on Charles,328,328,310,328,218,335
833617,The Dean Campustown,The Dean Campustown,672,672,290,647,361,683
518046,The Rise at Northgate,The Rise at Northgate,465,465,458,462,453,476
739079,307 E. Daniel,Campustown 307 E. Daniel,40,40,21,39,35,39
676054,The Academy Palomar,The Academy Palomar,129,0,115,0,48,131
739080,501 S. 6th,Campustown 501 S. 6th,104,104,32,103,19,108
