Refresh key: Property,Building,Refresh key: Unit,Excluded Reason,Related Property,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By,Refresh key
Academy 65,,204-A,Model Unit,6,03-02-2021 09:30 PM,03-02-2021 09:30 PM,1,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Academy 65_204-A
Academy 65,,204-B,Model Unit,6,03-02-2021 09:30 PM,03-02-2021 09:30 PM,2,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Academy 65_204-B
Academy 65,,204-C,Model Unit,6,03-02-2021 09:30 PM,03-02-2021 09:30 PM,3,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Academy 65_204-C
Academy 65,,204-D,Model Unit,6,03-02-2021 09:30 PM,03-02-2021 09:30 PM,4,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Academy 65_204-D
Everly on The Loop,,416-A,Model Unit,8,03-02-2021 09:30 PM,03-02-2021 09:30 PM,5,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Everly on The Loop_416-A
Everly on The Loop,,416-B,Model Unit,8,03-02-2021 09:30 PM,03-02-2021 09:30 PM,6,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Everly on The Loop_416-B
Shortbread Lofts,,315-B,Model Unit,10,03-02-2021 09:30 PM,03-02-2021 09:30 PM,7,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_315-B
Shortbread Lofts,,315-A1,Model Unit,10,03-02-2021 09:30 PM,03-02-2021 09:30 PM,8,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_315-A1
Shortbread Lofts,,315-A2,Model Unit,10,03-02-2021 09:30 PM,03-02-2021 09:30 PM,9,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_315-A2
SOVA,Building 100,1102-A,Model Unit,11,03-02-2021 09:30 PM,03-02-2021 09:30 PM,10,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,SOVA_1102-A
SOVA,Building 100,1102-B,Model Unit,11,03-02-2021 09:30 PM,03-02-2021 09:30 PM,11,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,SOVA_1102-B
SOVA,Building 100,1102-C,Model Unit,11,03-02-2021 09:30 PM,03-02-2021 09:30 PM,12,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,SOVA_1102-C
SOVA,Building 100,1102-D,Model Unit,11,03-02-2021 09:30 PM,03-02-2021 09:30 PM,13,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,SOVA_1102-D
The Academy at Frisco,2,107,Model Unit,13,03-02-2021 09:30 PM,03-02-2021 09:30 PM,14,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Academy at Frisco_107
The Academy Chorro,,201-B,Model Unit,14,03-02-2021 09:30 PM,03-02-2021 09:30 PM,15,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Academy Chorro_201-B
The Academy Chorro,,201-C,Model Unit,14,03-02-2021 09:30 PM,03-02-2021 09:30 PM,16,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Academy Chorro_201-C
The Academy Chorro,,201-D,Model Unit,14,03-02-2021 09:30 PM,03-02-2021 09:30 PM,17,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Academy Chorro_201-D
The Academy on Charles,,403-A,Model Unit,15,03-02-2021 09:30 PM,03-02-2021 09:30 PM,18,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Academy on Charles_403-A
The Academy on Charles,,403-B,Model Unit,15,03-02-2021 09:30 PM,03-02-2021 09:30 PM,19,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Academy on Charles_403-B
The Academy on Charles,,403-C,Model Unit,15,03-02-2021 09:30 PM,03-02-2021 09:30 PM,20,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Academy on Charles_403-C
The Academy on Charles,,403-D,Model Unit,15,03-02-2021 09:30 PM,03-02-2021 09:30 PM,21,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Academy on Charles_403-D
