property_name,leases_count,total_beds,model_beds,current_occupency,total_new,total_renewals,total_leases,prelease_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_prelease_percent,yoy_variance_1,yoy_variance_2,seven_new,seven_renewal,seven_total,seven_percent_gained,beds_left,leased_this_week,vel_90,vel_95,vel_100
1008 S. 4th,158,158,0,0.9873417721518988,105,53,158,1,136,21,157,0.9936708860759493,1,0.006329113924050667,0,0,0,0,0,0,-0,-0,-0
1047 Commonwealth Avenue,152,183,0,0.7103825136612022,80,72,152,0.8306010928961749,102,80,182,0.994535519125683,-30,-0.16393442622950816,0,0,0,0,31,0,-0.5693877551020409,-0.6010204081632653,-0.6326530612244898
307 E. Daniel,41,40,0,1,25,16,41,1.025,34,5,39,0.975,2,0.04999999999999993,0,0,0,0,-1,0,0.018367346938775512,0.019387755102040816,0.02040816326530612
501 S. 6th,104,104,0,1,50,54,104,1,76,27,103,0.9903846153846154,1,0.009615384615384581,0,0,0,0,0,0,-0,-0,-0
908 S. 1st,96,96,0,0.9375,62,34,96,1,81,16,97,1.0104166666666667,-1,-0.01041666666666674,0,0,0,0,0,0,-0,-0,-0
Academy 65,318,309,0,0.7411003236245954,193,125,318,1.029126213592233,141,141,282,0.912621359223301,36,0.11650485436893199,0,0,0,0,-9,0,0.16530612244897958,0.17448979591836733,0.1836734693877551
Academy Lincoln,627,632,0,0.990506329113924,389,238,627,0.9920886075949367,443,171,614,0.9715189873417721,13,0.020569620253164556,0,0,0,0,5,0,-0.09183673469387756,-0.09693877551020408,-0.10204081632653061
ANOVA uCity Square,437,461,0,0.9392624728850325,292,145,437,0.9479392624728851,226,196,422,0.9154013015184381,15,0.03253796095444694,0,0,0,0,24,0,-0.44081632653061226,-0.4653061224489795,-0.4897959183673469
Courts at Spring Mill Station,356,386,0,0.9481865284974094,135,221,356,0.9222797927461139,128,228,356,0.9222797927461139,0,0,0,0,0,0,30,0,-0.5510204081632653,-0.5816326530612245,-0.6122448979591837
Shortbread Lofts,374,374,0,1,347,27,374,1,352,21,373,0.9973262032085561,1,0.002673796791443861,0,0,0,0,0,0,-0,-0,-0
SOVA,818,816,0,0.9852941176470589,455,363,818,1.0024509803921569,432,388,820,1.0049019607843137,-2,-0.002450980392156854,0,0,0,0,-2,0,0.036734693877551024,0.03877551020408163,0.04081632653061224
Station Nine,294,323,0,0.9040247678018576,217,76,294,0.9040247678018576,188,82,270,0.8359133126934984,24,0.06811145510835914,0,0,0,0,29,0,-0.5326530612244899,-0.5622448979591836,-0.5918367346938775
The Academy at Frisco,638,640,0,0.9875,320,318,638,0.996875,380,258,638,0.996875,0,0,0,0,0,0,2,0,-0.036734693877551024,-0.03877551020408163,-0.04081632653061224
The Academy on Charles,328,328,0,0.9878048780487805,204,124,328,1,216,113,329,1.0030487804878048,-1,-0.0030487804878047697,0,0,0,0,0,0,-0,-0,-0
The Caswell at Runnymeade,187,247,0,0.7651821862348178,166,19,187,0.7408906882591093,46,0,46,0.1862348178137652,141,0.5546558704453441,0,0,0,0,60,0,-1.1020408163265305,-1.163265306122449,-1.2244897959183674
The Dean Campustown,665,672,0,0.9508928571428571,397,268,665,0.9851190476190477,453,213,666,0.9910714285714286,-1,-0.005952380952380931,0,0,0,0,7,0,-0.12857142857142856,-0.1357142857142857,-0.14285714285714285
The Dean Reno,639,773,0,0.795601552393273,420,219,639,0.8253557567917206,526,0,526,0.6804657179818887,113,0.14489003880983187,0,0,0,0,134,0,-2.4612244897959186,-2.5979591836734692,-2.7346938775510203
The Rise at Northgate,465,465,0,1,201,264,465,1,188,278,466,1.0021505376344086,-1,-0.0021505376344086446,0,0,0,0,0,0,-0,-0,-0
Torre,506,558,0,0.8512544802867383,361,145,506,0.9068100358422939,366,148,514,0.921146953405018,-8,-0.014336917562724039,0,0,0,0,52,0,-0.9551020408163267,-1.0081632653061223,-1.0612244897959184
Venue at North Campus,642,734,0,0.8501362397820164,350,292,642,0.8746594005449592,457,266,723,0.9850136239782016,-81,-0.11035422343324242,0,0,0,0,92,0,-1.6897959183673468,-1.783673469387755,-1.8775510204081634
