property_name,total_beds,model_beds,current_occupency,total_new,total_renewals,total_leases,prelease_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_prelease_percent,yoy_variance_1,yoy_variance_2,seven_new,seven_renewal,seven_total,seven_percent_gained,beds_left,leased_this_week,vel_90,vel_95,vel_100
1008 S. 4th,158,0,0.9873417721518988,105,53,158,1,136,21,157,0.9936708860759493,1,0.006329113924050667,0,0,0,0,0,0,-0,-0,-0
1047 Commonwealth Avenue,183,0,0.6612021857923497,80,72,152,0.8306,101,80,181,0.9890710382513661,-29,-0.1584710382513661,0,0,0,0,31,0,-0.5693877551020409,-0.6010204081632653,-0.6326530612244898
307 E. Daniel,40,0,0.975,25,16,41,1.025,34,5,39,0.975,2,0.04999999999999993,0,0,0,0,-1,0,0.018367346938775512,0.019387755102040816,0.02040816326530612
501 S. 6th,104,0,1,50,54,104,1,76,27,103,0.9903846153846154,1,0.009615384615384581,0,0,0,0,0,0,-0,-0,-0
908 S. 1st,96,0,0.9375,62,34,96,1,78,16,94,0.9791666666666666,2,0.02083333333333337,0,0,0,0,0,0,-0,-0,-0
Academy 65,309,0,0.7346278317152104,193,125,318,1.0291,137,141,278,0.8996763754045307,40,0.1294236245954692,0,0,0,0,-9,0,0.16530612244897958,0.17448979591836733,0.1836734693877551
Academy Lincoln,632,0,0.990506329113924,389,238,627,0.9921,440,171,611,0.9667721518987342,16,0.02532784810126576,0,0,0,0,5,0,-0.09183673469387756,-0.09693877551020408,-0.10204081632653061
ANOVA uCity Square,461,0,0.9392624728850325,292,145,437,0.9479,226,196,422,0.9154013015184381,15,0.03249869848156184,0,0,0,0,24,0,-0.44081632653061226,-0.4653061224489795,-0.4897959183673469
Courts at Spring Mill Station,386,0,0.9455958549222798,135,221,356,0.9223,128,228,356,0.9222797927461139,0,2.020725388607314e-5,0,0,0,0,30,0,-0.5510204081632653,-0.5816326530612245,-0.6122448979591837
Shortbread Lofts,374,0,1,347,27,374,1,352,21,373,0.9973262032085561,1,0.002673796791443861,0,0,0,0,0,0,-0,-0,-0
SOVA,816,0,0.9852941176470589,455,363,818,1.0025,427,388,815,0.9987745098039216,3,0.0037254901960783737,0,0,0,0,-2,0,0.036734693877551024,0.03877551020408163,0.04081632653061224
Station Nine,323,0,0.8978328173374613,215,76,293,0.9009,188,82,270,0.8359133126934984,23,0.06498668730650159,0,0,0,0,30,0,-0.5510204081632653,-0.5816326530612245,-0.6122448979591837
The Academy at Frisco,640,0,0.9875,321,318,639,0.9984,380,258,638,0.996875,1,0.0015249999999999986,0,0,0,0,1,0,-0.018367346938775512,-0.019387755102040816,-0.02040816326530612
The Academy on Charles,328,0,0.9786585365853658,204,124,328,1,216,113,329,1.0030487804878048,-1,-0.0030487804878047697,0,0,0,0,0,0,-0,-0,-0
The Caswell at Runnymeade,247,0,0.7651821862348178,166,17,187,0.7409,45,0,45,0.18218623481781376,142,0.5587137651821863,0,0,0,0,60,0,-1.1020408163265305,-1.163265306122449,-1.2244897959183674
The Dean Campustown,672,0,0.9434523809523809,393,268,663,0.9836,451,213,664,0.9880952380952381,-1,-0.004495238095238108,0,0,0,0,9,0,-0.16530612244897958,-0.17448979591836733,-0.1836734693877551
The Dean Reno,773,0,0.7943078913324709,417,219,638,0.8228,522,0,522,0.6752910737386805,116,0.1475089262613195,0,0,0,0,135,0,-2.479591836734694,-2.61734693877551,-2.7551020408163267
The Rise at Northgate,465,0,1,201,264,465,1,186,278,464,0.9978494623655914,1,0.0021505376344086446,0,0,0,0,0,0,-0,-0,-0
Torre,558,0,0.8422939068100358,358,146,506,0.9032,357,148,505,0.9050179211469535,1,-0.0018179211469534495,0,0,0,0,52,0,-0.9551020408163267,-1.0081632653061223,-1.0612244897959184
Venue at North Campus,734,0,0.8474114441416893,350,292,642,0.8747,457,266,723,0.9850136239782016,-81,-0.11031362397820155,0,0,0,0,92,0,-1.6897959183673468,-1.783673469387755,-1.8775510204081634
